Gender,UC Student Status,Birthday,Participant Category,University or School Name,Expertise Area,TPA Score,Portofolio Score,Interview Score,Total Score,Accepted
Male,No,5/31/1997,Professional Workers,(UC) Universitas Ciputra Surabaya,Design,47,73,76,64,Yes
Female,No,12/1/1999,Active Student or Fresh Graduate,(PENS) Politeknik Elektronika Negeri Surabaya,Tech / IT / IS,62,87,88,77,Yes
Male,No,12/13/1999,Active Student or Fresh Graduate,(ITS) Institut Teknologi Sepuluh Nopember,Tech / IT / IS,72,73,78,74,Yes
Male,No,7/29/1996,Professional Workers,(UNSRI) Universitas Sriwijaya Sumatera Selatan,Tech / IT / IS,80,67,68,72,Yes
Male,No,5/28/1992,Professional Workers,ITS,Design,47,80,80,67,Yes
Female,No,2/25/1998,Active Student or Fresh Graduate,(PENS) Politeknik Elektronika Negeri Surabaya,Tech / IT / IS,61,67,84,70,Yes
Female,No,1/10/2003,Active Student or Fresh Graduate,,Design,48,60,78,61,Yes
Male,Yes,3/11/1994,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,54,40,42,46,Yes
Female,Yes,5/13/1988,Professional Workers,(UC) Universitas Ciputra Surabaya,Design,46,63,68,58,Yes
Male,Yes,10/14/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,64,53,64,61,Yes
Male,Yes,3/9/1997,Professional Workers,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,68,47,64,60,Yes
Female,Yes,9/5/1988,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,42,80,72,62,Yes
Male,No,1/19/1996,Active Student or Fresh Graduate,(UAYO) Universitas Amikom Jogjakarta,Tech / IT / IS,64,80,80,74,Yes
Female,Yes,9/12/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,43,20,56,40,Yes
Male,No,12/21/2000,Active Student or Fresh Graduate,,Tech / IT / IS,86,60,66,72,Yes
Male,Yes,10/30/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,38,60,66,53,Yes
Male,No,2/23/1992,Professional Workers,Universitas Pembangunan Nasional Veteran Jawa Timur,Tech / IT / IS,70,67,76,71,Yes
Female,Yes,7/25/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,40,60,74,56,Yes
Male,No,8/14/2000,Active Student or Fresh Graduate,Institut Asia Malang,Tech / IT / IS,57,73,86,71,Yes
Male,No,8/12/1999,Active Student or Fresh Graduate,(UBAYA) Universitas Surabaya,Tech / IT / IS,73,80,68,74,Yes
Male,Yes,3/30/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,17,27,52,30,No
Female,Yes,2/8/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,25,20,70,37,No
Female,No,2/23/2001,Active Student or Fresh Graduate,UKSW - Universitas Kristen Satya Wacana,Tech / IT / IS,58,67,96,72,No
Male,Yes,5/6/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,33,73,70,56,No
Male,No,1/13/1997,Active Student or Fresh Graduate,(UKSW) Universitas Kristen Satya Wacana Salatiga,Tech / IT / IS,61,80,42,61,No
Male,No,1/13/1999,Active Student or Fresh Graduate,Universitas negeri surabaya,Design,31,47,54,43,No
Male,Yes,7/21/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,39,33,70,46,No
Male,No,3/19/2000,Active Student or Fresh Graduate,Deakin University Australia,Tech / IT / IS,60,73,66,66,No
Male,No,5/27/1996,Active Student or Fresh Graduate,Universitas Gadjah Mada,Design,44,70,62,57,No
Male,No,5/4/1996,Active Student or Fresh Graduate,(LP3I) Lembaga Pendidikan dan Pengembangan Profesi Indonesia,Tech / IT / IS,50,40,72,54,No
Male,No,8/1/1998,Active Student or Fresh Graduate,(UDINUS) Universitas Dian Nuswantoro,Tech / IT / IS,60,67,82,69,No
Male,Yes,12/4/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,20,20,82,39,No
Male,No,10/2/1997,Professional Workers,(ITS) Institut Teknologi Sepuluh Nopember,Tech / IT / IS,53,53,64,56,No
Male,No,5/3/1999,Active Student or Fresh Graduate,(UKSW) Universitas Kristen Satya Wacana,Tech / IT / IS,57,53,56,56,No
Male,Yes,12/24/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,29,43,58,42,No
Male,Yes,11/15/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,27,20,68,37,No
Male,Yes,3/19/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,39,40,72,49,No
Male,No,11/18/1999,Active Student or Fresh Graduate,(UKSW) Universitas Kristen Satya Wacana,Tech / IT / IS,54,60,50,55,No
Female,No,1/31/1997,Active Student or Fresh Graduate,STMIK AKAKOM Yogyakarta,Tech / IT / IS,43,33,62,46,No
Female,Yes,10/9/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,29,20,42,30,No
Male,Yes,4/22/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,51,67,64,60,No
Male,No,5/25/1998,Active Student or Fresh Graduate,Universitas narotama,Tech / IT / IS,36,53,78,54,No
Female,No,7/18/2001,Active Student or Fresh Graduate,Universitas Katolik Widya Mandala Surabaya,Design,33,20,44,32,No
Male,No,11/3/1999,Active Student or Fresh Graduate,(UNUD) Universitas Udayana,Tech / IT / IS,65,47,74,62,No
Male,No,5/11/1991,Professional Workers,(ITB) Institut Teknologi Bandung,Design,41,67,82,61,No
Male,No,6/4/1998,Active Student or Fresh Graduate,(UKSW) Universitas Kristen Satya Wacana,Tech / IT / IS,61,67,68,65,No
Male,No,8/18/1995,Professional Workers,(UAYO) Universitas Amikom Jogjakarta,Tech / IT / IS,52,100,94,79,No
Male,No,4/25/1998,Active Student or Fresh Graduate,Institut Teknologi Del,Tech / IT / IS,48,33,72,51,No
Female,No,8/10/1997,Active Student or Fresh Graduate,Universitas Pembangunan Nasional Veteran Yogyakarta,Tech / IT / IS,58,73,68,66,No
Male,No,10/22/1997,Active Student or Fresh Graduate,(UKSW) UNIVERSITAS KRISTEN SATYA WACANA,Tech / IT / IS,44,40,78,53,No
Female,No,1/24/1999,Active Student or Fresh Graduate,(USD) Universitas Sanata Dharma Jogjakarta,Tech / IT / IS,48,53,60,53,No
Male,Yes,4/24/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,48,33,66,49,No
Male,Yes,8/18/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,29,20,40,30,No
Male,Yes,6/2/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,54,53,58,55,No
Male,No,5/3/1998,Active Student or Fresh Graduate,UNIVERSITAS MUHAMMADIYAH PURWOKERTO,Tech / IT / IS,42,53,76,56,No
Male,Yes,6/16/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,52,20,84,52,No
Male,Yes,4/18/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,40,43,68,49,No
Male,Yes,6/26/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,34,33,76,46,No
Male,No,6/25/1997,Active Student or Fresh Graduate,(UAJY) Universitas Atmajaya Jogjakarta,Tech / IT / IS,44,47,64,51,No
Female,Yes,6/12/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,28,47,50,40,No
Female,No,12/25/2000,Active Student or Fresh Graduate,unesa universitas negeri surabay,Design,30,33,72,44,No
Male,No,9/2/1997,Active Student or Fresh Graduate,(UGM) Universitas Gadjah Mada Yogyakarta,Tech / IT / IS,72,53,74,67,No
Male,No,4/11/1998,Active Student or Fresh Graduate,STIE WIRA BHAKTI,Tech / IT / IS,56,47,62,55,No
Male,Yes,7/5/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,42,40,78,52,No
Male,No,7/20/2001,Active Student or Fresh Graduate,(LP3I) Lembaga Pendidikan dan Pengembangan Profesi Indonesia,Tech / IT / IS,51,60,78,62,No
Male,Yes,10/5/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,54,60,54,56,No
Male,No,6/27/1996,Active Student or Fresh Graduate,Universitas Dian Nuswantoro Semarang,Tech / IT / IS,41,27,86,50,No
Male,No,9/26/1999,Active Student or Fresh Graduate,Universitas Kristen Satya Wacana Salatiga,Tech / IT / IS,54,47,58,53,No
Female,Yes,10/6/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,46,20,82,49,No
Male,No,3/14/2001,Active Student or Fresh Graduate,UNIVERSITAS UDAYANA,Tech / IT / IS,72,33,80,63,No
Male,Yes,5/24/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,33,37,70,45,No
Male,No,9/8/1995,Professional Workers,(UCIC) Universitas Catur Insan Cendikia Cirebon,Tech / IT / IS,68,67,64,66,No
Male,No,6/21/1997,Active Student or Fresh Graduate,(PBIMS) Politeknik Bisnis Indonesia Murni Sadar,Tech / IT / IS,45,80,74,64,No
Female,Yes,11/6/1993,Professional Workers,(UC) Universitas Ciputra Surabaya,Domain Expert,28,67,44,44,No
Male,No,9/7/1999,Active Student or Fresh Graduate,Institut Pertanian Bogor,Tech / IT / IS,46,40,68,51,No
Male,Yes,4/10/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,38,73,54,53,No
Female,Yes,7/17/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,32,20,60,37,No
Male,Yes,7/2/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,25,47,22,30,No
Male,Yes,3/10/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,39,27,64,43,No
Female,Yes,4/18/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,41,70,66,57,No
Male,No,12/18/1995,Active Student or Fresh Graduate,UIN Maulana Malik Ibrahim Malang,Tech / IT / IS,50,53,84,61,No
Male,No,9/17/1998,Active Student or Fresh Graduate,UNY,Tech / IT / IS,54,47,70,57,No
Male,Yes,8/18/1987,Professional Workers,(UC) Universitas Ciputra Surabaya,Design,32,50,70,49,No
Male,Yes,9/24/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,30,60,38,41,No
Male,No,7/9/1999,Active Student or Fresh Graduate,Universitas Kristen Petra Surabaya,Domain Expert,51,20,64,46,No
Male,Yes,12/6/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,39,60,46,47,No
Male,No,6/25/1989,Professional Workers,Universitas Negeri Malang (DO) / SMAN 08 Malang,Tech / IT / IS,58,73,68,66,No
Female,Yes,7/21/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,46,20,32,34,No
Male,Yes,6/19/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,60,67,68,64,No
Female,Yes,11/30/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,23,40,70,42,No
Female,Yes,11/9/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,30,20,86,44,No
Male,No,11/26/1995,Active Student or Fresh Graduate,Institut Teknologi Sepuluh Nopember,Tech / IT / IS,49,53,62,54,No
Male,No,8/10/1999,Active Student or Fresh Graduate,(UKSW) Universitas Kristen Satya Wacana,Tech / IT / IS,58,67,74,65,No
Female,Yes,2/24/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,31,33,76,45,No
Male,Yes,12/11/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,57,53,56,56,No
Female,Yes,2/4/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,30,57,70,50,No
Male,Yes,2/26/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,58,93,72,73,No
Male,Yes,7/18/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,34,20,72,41,No
Male,Yes,3/26/1991,Professional Workers,(ITS) Institut Teknologi Sepuluh Nopember,Tech / IT / IS,64,80,44,63,No
Male,No,3/3/1997,Active Student or Fresh Graduate,(USD) Universitas Sanata Dharma Jogjakarta,Tech / IT / IS,70,47,84,67,No
Female,Yes,5/19/1994,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,32,40,82,49,No
Male,Yes,8/21/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,33,37,58,42,No
Male,No,1/20/2000,Active Student or Fresh Graduate,(UKSW) Universitas Kristen Satya Wacana Salatiga,Tech / IT / IS,64,40,78,61,No
Female,Yes,9/20/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,36,60,56,49,No
Male,No,11/30/1997,Active Student or Fresh Graduate,(USD) Universitas Sanata Dharma Jogjakarta,Tech / IT / IS,66,40,80,62,No
Female,Yes,9/20/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,41,20,44,36,No
Female,Yes,9/15/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,47,20,92,52,No
Male,No,9/2/1999,Active Student or Fresh Graduate,(USD) Universitas Sanata Dharma Jogjakarta,Tech / IT / IS,52,47,70,56,No
Male,No,10/28/1995,Active Student or Fresh Graduate,(USD) Universitas Sanata Dharma Jogjakarta,Tech / IT / IS,47,60,72,58,No
Female,No,5/20/1998,Active Student or Fresh Graduate,(USD) Universitas Sanata Dharma Jogjakarta,Tech / IT / IS,75,53,64,65,No
Female,Yes,10/12/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,57,20,56,46,No
Male,No,8/28/1996,Active Student or Fresh Graduate,(UAYO) Universitas Amikom Jogjakarta,Tech / IT / IS,62,47,80,63,No
Male,No,12/16/1995,Professional Workers,Institut Teknologi Telkom Purwokerto,Tech / IT / IS,40,60,64,53,No
Male,Yes,8/14/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,33,40,50,40,No
Female,Yes,10/14/1996,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,54,10,40,37,No
Male,Yes,12/1/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,33,70,60,52,No
Female,Yes,8/21/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,46,20,92,52,No
Female,Yes,6/11/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,45,53,80,58,No
Male,No,7/17/1998,Active Student or Fresh Graduate,(USD) Universitas Sanata Dharma Jogjakarta,Tech / IT / IS,74,47,78,67,No
Male,No,3/3/1998,Active Student or Fresh Graduate,(USD) Universitas Sanata Dharma Jogjakarta,Tech / IT / IS,51,40,64,52,No
Male,No,11/12/1997,Active Student or Fresh Graduate,Politeknik Elektronika Negeri Surabaya,Tech / IT / IS,48,60,68,58,No
Male,No,5/9/1997,Active Student or Fresh Graduate,Universitas AMIKOM Yogyakarta,Tech / IT / IS,55,47,72,58,No
Female,Yes,6/20/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,73,87,70,76,No
Male,No,10/30/1989,Active Student or Fresh Graduate,STMIK AKAKOM YOGYA,Design,40,37,40,39,No
Male,No,12/22/1999,Active Student or Fresh Graduate,Universitas Kristen Satya Wacana Salatiga,Tech / IT / IS,64,47,48,54,No
Male,No,3/30/1998,Active Student or Fresh Graduate,(USD) Universitas Sanata Dharma Jogjakarta,Tech / IT / IS,45,40,58,47,No
Male,No,5/8/1997,Active Student or Fresh Graduate,Universitas Muhammadiyah Sidoarjo,Tech / IT / IS,58,53,70,60,No
Male,Yes,10/10/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,73,93,80,81,No
Male,No,5/30/1992,Professional Workers,(UNY) Universitas Negeri Yogyakarta,Tech / IT / IS,56,27,82,55,No
Male,No,8/6/1999,Active Student or Fresh Graduate,(UINSA) Universitas Islam Negeri Sunan Ampel Surabaya,Tech / IT / IS,43,53,64,52,No
Female,No,9/1/1997,Active Student or Fresh Graduate,(UGM) Universitas Gadjah Mada Yogyakarta,Tech / IT / IS,44,40,72,51,No
Male,No,6/12/1997,Active Student or Fresh Graduate,Universitas Kristen Satya Wacana Salatiga,Tech / IT / IS,49,40,82,56,No
Male,Yes,4/15/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,54,40,86,59,No
Female,Yes,8/6/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,35,53,76,53,No
Male,No,8/18/1999,Active Student or Fresh Graduate,(UKP SURABAYA) Universitas Kristen Petra Surabaya,Tech / IT / IS,56,60,84,66,No
